population_size,elite_size,crossover_rate,mutation_rate,replace_strategy,seed,best_distance,execution_time,generations_to_convergence,generations_to_best,generations_to_stable,improvement_rate
10,1,0.8,0.02,worst,3,2601.83145522054,7.371269941329956,2000,1941,3,0.9368139546505077
10,1,0.8,0.02,worst,4,2975.43391329215,7.4442360401153564,2000,1995,4,0.6347684705155218
10,1,0.8,0.02,worst,5,2597.766653690041,7.364073991775513,2000,1987,2,0.8317058943164043
10,1,0.8,0.02,worst,6,2747.0208435651407,7.3384950160980225,2000,1993,4,0.7867382767848468
10,1,0.8,0.02,worst,7,2831.8222187810175,7.380234003067017,2000,1984,2,0.670594274646452
10,1,0.8,0.02,worst,8,2780.8388178535592,7.443407773971558,2000,1837,3,0.927324916970868
10,1,0.8,0.02,worst,9,2795.7632865465985,7.452570915222168,2000,1996,3,0.7732423200975012
10,1,0.8,0.02,worst,10,2753.7906648026906,7.376199960708618,2000,1911,3,0.8819471307375071
10,1,0.8,0.02,worst,11,3037.31808448965,7.549489974975586,2000,1956,2,0.6426996132871334
10,1,0.8,0.02,worst,12,2473.7242607709954,7.361346960067749,2000,1957,2,0.9514408994455671
10,1,0.8,0.02,worst,13,2600.3084274105845,7.479366064071655,2000,1997,4,0.8879444467948286
10,1,0.8,0.02,worst,14,2761.7626143816915,7.421655893325806,2000,1998,3,0.7598674029438559
10,1,0.8,0.02,worst,15,2574.3930763901117,7.365009784698486,2000,1885,3,0.9244746696057348
10,1,0.8,0.02,worst,16,2812.2222372231413,7.375509023666382,2000,1986,2,0.8130273340879395
10,1,0.8,0.02,worst,17,2687.3710882459964,7.3272058963775635,2000,1985,2,0.8019135951355914
10,1,0.8,0.02,worst,18,2489.341501695207,7.425034999847412,2000,1925,2,0.9400355397198624
10,1,0.8,0.02,worst,19,2646.7031495248643,7.367501735687256,2000,1995,2,0.8048199661424205
10,1,0.8,0.02,worst,20,2686.9736347556923,7.361495018005371,2000,1868,3,0.7574703255801496
10,1,0.8,0.02,worst,21,2545.793867676011,7.422288179397583,2000,1995,2,0.8779207007223399
10,1,0.8,0.02,worst,22,2671.861379549923,7.589395046234131,2000,1966,2,0.6841335260653032
10,1,0.8,0.02,worst,23,2900.0943457415483,7.349224090576172,2000,1861,2,0.7286991811884374
10,1,0.8,0.02,worst,24,2752.23605410851,7.358944654464722,2000,1948,3,0.6005761774139705
10,1,0.8,0.02,worst,25,2535.6757611718017,7.35653829574585,2000,1996,2,0.9087649368140475
10,1,0.8,0.02,worst,26,2826.9045239117336,7.367227077484131,2000,1981,2,0.7572433381236473
10,1,0.8,0.02,worst,27,2711.4132951894508,7.363229751586914,2000,1959,2,0.7750232070642412
10,1,0.8,0.02,worst,28,2743.0256768359955,7.378076791763306,2000,1999,2,0.8203890028860875
10,1,0.8,0.02,worst,29,2828.2610887410274,7.446609973907471,2000,1960,2,0.736962402201657
10,1,0.85,0.02,worst,0,2672.415268529726,7.409142971038818,2000,1974,2,0.8889122239875362
10,1,0.85,0.02,worst,1,2748.413459917846,7.408515214920044,2000,1918,2,0.7997555887401097
10,1,0.85,0.02,worst,2,2611.07727436911,7.436949014663696,2000,1979,3,0.9407471493042869
10,1,0.85,0.02,worst,3,2652.2485920838244,7.511368036270142,2000,1981,3,0.8924476270133019
10,1,0.85,0.02,worst,4,2685.459965787807,7.415570020675659,2000,1975,4,0.788018757560916
10,1,0.85,0.02,worst,5,2753.636282019427,7.441400051116943,2000,1988,2,0.7528822855519663
10,1,0.85,0.02,worst,6,2766.3860308567237,7.403443098068237,2000,1977,4,0.783310166080231
10,1,0.85,0.02,worst,7,2786.2520108175177,7.4947350025177,2000,1969,2,0.6988467490411685
10,1,0.85,0.02,worst,8,2697.371617205773,7.497378826141357,2000,1999,3,0.8939285008120416
10,1,0.85,0.02,worst,9,2711.015782603374,7.458404779434204,2000,1995,3,0.8161098620841286
10,1,0.85,0.02,worst,10,2683.324746916675,7.5034120082855225,2000,1961,3,0.8729019199352398
10,1,0.85,0.02,worst,11,2817.076694135337,7.434726715087891,2000,1967,2,0.7510736318982948
10,1,0.85,0.02,worst,12,2798.5012112101144,7.478359937667847,2000,1989,2,0.7728471039597062
10,1,0.85,0.02,worst,13,2673.0780895488633,7.46423602104187,2000,1948,4,0.8729237156627279
10,1,0.85,0.02,worst,14,2669.3947544608195,7.457056999206543,2000,1973,3,0.8163116730880365
10,1,0.85,0.02,worst,15,2545.9339376871735,7.50734281539917,2000,1991,3,0.8895499200953029
10,1,0.85,0.02,worst,16,2920.860001170386,7.487023115158081,2000,1970,2,0.7644845287062959
10,1,0.85,0.02,worst,17,2751.8216187911116,7.472784996032715,2000,1947,2,0.7844622269127034
10,1,0.85,0.02,worst,18,2779.7438196235917,7.481901168823242,2000,1967,2,0.7723264341801478
10,1,0.85,0.02,worst,19,2709.4519095899323,7.4328718185424805,2000,1888,2,0.8171965425789518
10,1,0.85,0.02,worst,20,2728.52543823118,7.448450088500977,2000,1996,2,0.6880775374289738
10,1,0.85,0.02,worst,21,2727.9987691768756,7.500504970550537,2000,1916,2,0.7925562532085088
10,1,0.85,0.02,worst,22,2660.3736526208013,7.379471063613892,2000,1992,2,0.6809710036011587
10,1,0.85,0.02,worst,23,2696.719356398493,7.484203100204468,2000,1984,2,0.7860303253703312
10,1,0.85,0.02,worst,24,2786.563071884635,7.718295097351074,2000,1977,2,0.6603352449225403
10,1,0.85,0.02,worst,25,2536.8454439867364,7.434462070465088,2000,1963,3,0.9234463224991869
10,1,0.85,0.02,worst,26,2453.28870115719,7.457535028457642,2000,1967,2,0.9525749240353273
10,1,0.85,0.02,worst,27,2319.2770406894174,7.447268009185791,2000,1988,2,0.9609691736111077
10,1,0.85,0.02,worst,28,2852.557145364531,7.491877794265747,2000,1999,2,0.7655958720564048
10,1,0.85,0.02,worst,29,2775.910168346019,7.427251815795898,2000,1947,2,0.7687710471033673
10,1,0.9,0.02,worst,0,2756.7670578342827,7.515963077545166,2000,1976,2,0.8453243627767407
10,1,0.9,0.02,worst,1,2614.4885439935824,7.592098951339722,2000,1974,2,0.8449119225571399
10,1,0.9,0.02,worst,2,2649.524027187317,7.572552919387817,2000,1970,3,0.9255288607385668
10,1,0.9,0.02,worst,3,2695.5525347361668,8.546158790588379,2000,1929,3,0.894056405630383
10,1,0.9,0.02,worst,4,2770.469236772439,7.624879837036133,2000,1994,4,0.7378775201595671
10,1,0.9,0.02,worst,5,2734.811749482625,7.4408042430877686,2000,1926,2,0.7868922721776278
10,1,0.9,0.02,worst,6,2769.463184084183,7.454600095748901,2000,1964,4,0.7869282307093469
10,1,0.9,0.02,worst,7,2723.3449036337292,7.482040643692017,2000,1997,2,0.7205490015252124
10,1,0.9,0.02,worst,8,2679.8110689610266,7.480189800262451,2000,1961,3,0.843958006787403
10,1,0.9,0.02,worst,9,2620.799061463176,7.5347840785980225,2000,1979,3,0.8682950459818267
10,1,0.9,0.02,worst,10,2611.6577780153107,7.450655937194824,2000,1945,3,0.9169293747528893
10,1,0.9,0.02,worst,11,2806.9799831828486,7.483159065246582,2000,1982,2,0.7504836250738821
10,1,0.9,0.02,worst,12,2569.6066873736627,7.478020906448364,2000,1966,2,0.8983150628750293
